Rosas;Oreja de Van Gogh;Lo que te conte mientras te hacias la dormida;2003;https://www.youtube.com/watch?v=nYnLVWXmRm8;/canciones/Rosas.mid;;;;;;;;;
me;trepas;como;una;araña;;;;;;;;;;
bebes;del;sudor;que;empaña;;;;;;;;;;
el;cristasl;de;mi;habitación;;;;;;;;;;
y;despues;por;la;mañana;;;;;;;;;;
despierto;y;no;tengo;alas;;;;;;;;;;
llevo;10;horas;durmiendo;;;;;;;;;;;
y;mi;almohada;está;empapada;;;;;;;;;;
todo;habías;sido;un;sueño;;;;;;;;;;
muy;real;y;muy;profundo;;;;;;;;;;
tus;ojos;no;tienen;dueño;;;;;;;;;;
porque;no;son;de;este;mundo;;;;;;;;;
--;;;;;;;;;;;;;;
A;veces;me;confundo;;;;;;;;;;;
y;pico;a;tu;vecina;;;;;;;;;;
esa;del;segundo;;;;;;;;;;;;
que;vende;cosa;fina;;;;;;;;;;;
a;veces;te;espero;;;;;;;;;;;
en;el;bar;de;la;esquina;;;;;;;;;
con;la;mirada;fija;en;tu;portería;;;;;;;;
y;a;veces;me;como;de;un;bocao;el;mundo;;;;;
y;a;veces;te;siento;;;;;;;;;;
y;a;veces;te;tumbo;;;;;;;;;;
a;veces;te;leo;un;beso;en;los;labios;;;;;;
pero;como;yo;no;me;atrevo;;;;;;;;;
me;corto;y;me;abro;;;;;;;;;;
--;;;;;;;;;;;;;;
Que;yo;sé;que;la;sonrisa;;;;;;;;;
que;se;dibuja;en;tu;cara;;;;;;;;;
tiene;que;ver;con;la;brisa;;;;;;;;;
que;abanica;tu;mirada;;;;;;;;;;;
--;;;;;;;;;;;;;;
Tan;despacio;y;tan;deprisa;;;;;;;;;;
tan;normal;y;tan;extraña;;;;;;;;;;
yo;me;parto;la;camisa;;;;;;;;;;
como;Camarón;;;;;;;;;;;;;
tu;te;rompes;las;entrañas;;;;;;;;;;
me;trepas;como;una;araña;;;;;;;;;;
bebes;del;sudor;que;empaña;;;;;;;;;;
el;cristasl;de;mi;habitación;;;;;;;;;;
y;despues;por;la;mañana;;;;;;;;;;
despierto;y;no;tengo;alas;;;;;;;;;;
llevo;10;horas;durmiendo;;;;;;;;;;;
y;mi;almohada;está;empapada;;;;;;;;;;
todo;habías;sido;un;sueño;;;;;;;;;;
muy;real;y;muy;profundo;;;;;;;;;;
tus;ojos;no;tienen;dueño;;;;;;;;;;
porque;no;son;de;este;mundo;;;;;;;;;
##;;;;;;;;;;;;;;
Gasolina;Daddy Yankee;Onda latina summer;2010;https://www.youtube.com/watch?v=CCF1_jI8Prk;canciones/La_Gasolina.mid;;;;;;;;;
Oh;;;;;;;;;;;;;;
Oh;;;;;;;;;;;;;;
Oh;;;;;;;;;;;;;;
Oh;;;;;;;;;;;;;;
Oh;;;;;;;;;;;;;;
Who's;this?;(oh);;;;;;;;;;;;
Da-ddy;Yan-kee!;(oh,;oh);;;;;;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Que;se;preparen;que;lo;que;viene;es;pa;que;le;den;(¡duro!);;
--;;;;;;;;;;;;;;
Mamita,;yo;sé;que;tú;no;te;me;vas;a;quitar;(¡duro!);;;
Lo;que;me;gusta;es;que;tú;te;dejas;llevar;(¡duro!);;;;
Todos;los;weekenes;ella;sale;a;vacilar;(¡duro!);;;;;;;
Mi;gata;no;para;de;janguear;porque;;;;;;;;
--;;;;;;;;;;;;;;
A;ella;le;gusta;la;gasolina;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
Cómo;le;encanta;la;gasolina;;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
A;ella;le;gusta;la;gasolina;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
Cómo;le;encanta;la;gasolina;;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
--;;;;;;;;;;;;;;
Ella;prende;las;turbinas;;;;;;;;;;;
No;discrimina;;;;;;;;;;;;;
No;se;pierde;ni;un;party;de;marquesina;;;;;;;
Se;acicala;hasta;pa;la;esquina;;;;;;;;;
Luce;tan;bien;que;hasta;la;sombra;le;combina;;;;;;
Asesina,;me;domina;;;;;;;;;;;;
Janguea;en;carro,;motoras;y;limosinas;;;;;;;;;
Llena;su;tanque;de;adrenalina;;;;;;;;;;
Cuando;escucha;el;reggaeton;en;la;cocina;;;;;;;;
--;;;;;;;;;;;;;;
A;ella;le;gusta;la;gasolina;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
Cómo;le;encanta;la;gasolina;;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
A;ella;le;gusta;la;gasolina;;;;;;;;;
(Dame;más;gasolina);;;;;;;;;;;;
Cómo;le;encanta;la;gasolina;;;;;;;;;;
(Dame;más;gasolina);yo;;;;;;;;;;;
--;;;;;;;;;;;;;;
Aquí;nosotros;somos;los;mejores;;;;;;;;;;
No;te;me;ajores;;;;;;;;;;;
En;la;pista;nos;llaman;los;matadores;;;;;;;;
Tú;haces;que;cualquiera;se;enamore;;;;;;;;;
Cuando;bailas;al;ritmo;de;los;tambores;;;;;;;;
Esto;va;pa;las;gatas;de;todos;colores;;;;;;;
Pa;las;mayores,;pa;las;menores;;;;;;;;;
Pa;las;que;son;más;zorras;que;los;cazadores;;;;;;
Pa;las;mujeres;que;no;apagan;sus;motores;;;;;;;
--;;;;;;;;;;;;;;
Tenemos;tú;y;yo;algo;pendiente;;;;;;;;;
Tú;me;debes;algo;y;lo;sabes;;;;;;;;
Conmigo;ella;se;pierde;;;;;;;;;;;
No;le;rinde;cuentas;a;nadie;;;;;;;;;
Tenemos;tú;y;yo;algo;pendiente;;;;;;;;;
Tú;me;debes;algo;y;lo;sabes;;;;;;;;
Conmigo;ella;se;pierde;;;;;;;;;;;
No;le;rinde;cuentas;a;nadie;;;;;;;;;
--;;;;;;;;;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Zúmbale;mambo;pa;que;mis;gatas;prendan;los;motores;;;;;;
Que;se;preparen;que;lo;que;viene;es;pa;que;le;den;(¡duro!);;
--;;;;;;;;;;;;;;
Mamita,;yo;sé;que;tú;no;te;me;vas;a;quitar;(¡duro!);;;
Lo;que;me;gusta;es;que;tú;te;dejas;llevar;(¡duro!);;;;
Todos;los;weekenes;ella;sale;a;vacilar;(¡duro!);;;;;;;
Mi;gata;no;para;de;janguear;porque;;;;;;;;
--;;;;;;;;;;;;;;
A;ella;le;gusta;la;gasolina;(oh,;oh);;;;;;;
(Dame;más;gasolina);(oh,;oh);;;;;;;;;;
Cómo;le;encanta;la;gasolina;(oh,;oh);;;;;;;;
(Dame;más;gasolina);(oh,;oh);;;;;;;;;;
A;ella;le;gusta;la;gasolina;(oh,;oh);;;;;;;
(Dame;más;gasolina);(oh,;oh);;;;;;;;;;
Cómo;le;encanta;la;gasolina;(oh,;oh);;;;;;;;
(Dame;más;gasolina);(oh,;oh);;;;;;;;;;
--;;;;;;;;;;;;;;
Oh,;oh;;;;;;;;;;;;;
Oh,;oh;;;;;;;;;;;;;
Oh,;oh;;;;;;;;;;;;;
Oh,;oh;;;;;;;;;;;;;
##;;;;;;;;;;;;;;
Dame amor;Erick Rubin;Quadrasonico;2001;https://www.youtube.com/watch?v=9plpePYRuno;canciones/dame_amor.mid;;;;;;;;;
Remueves;todo;en;mí;;;;;;;;;;;
Controlas;mi;respiración;;;;;;;;;;;;
Y;al;vencerme;a;ti;completa;mi;totalidad;;;;;;;
--;;;;;;;;;;;;;;
Somos;inercia;;;;;;;;;;;;;
Dos;mundos;con;un;mismo;sol;;;;;;;;;
Que;nos;gravitará;sin;poderlo;evitar;;;;;;;;;
--;;;;;;;;;;;;;;
Mi;sangre;llena;de;tu;olor;;;;;;;;;
Me;dice;que;eres;todo;;;;;;;;;;
--;;;;;;;;;;;;;;
Siente;el;fuego;en;mi;interior;;;;;;;;;
Déjame;entrar,;me;está;quemando,;amor;;;;;;;;;
No;me;des;una;ilusión;;;;;;;;;;
Eternamente;dame;vida,;dame;amor;;;;;;;;;;
--;;;;;;;;;;;;;;
Mi;mente;gira,;me;transporta;a;otra;dimensión;;;;;;;
Y;abre;puertas;que;controlan;toda;mi;pasión;;;;;;;
No;hay;casualidad,;la;Luna;hace;eclipse;al;Sol;;;;;;
Una;marea;igual;provocas;tú;en;mi;interior;;;;;;;
--;;;;;;;;;;;;;;
Mi;sangre;llena;de;tu;olor;;;;;;;;;
Me;dice;que;eres;todo;;;;;;;;;;
--;;;;;;;;;;;;;;
Siente;el;fuego;en;mi;interior;;;;;;;;;
Déjame;entrar,;me;está;quemando,;amor;;;;;;;;;
No;me;des;una;ilusión;;;;;;;;;;
Eternamente;dame;vida,;dame;amor;;;;;;;;;;
--;;;;;;;;;;;;;;
Mi;sangre;llena;de;tu;olor;;;;;;;;;
Me;dice;que;eres;todo;;;;;;;;;;
--;;;;;;;;;;;;;;
Siente;el;fuego;en;mi;interior;;;;;;;;;
Déjame;entrar,;me;está;quemando,;amor;;;;;;;;;
No;me;des;una;ilusión;;;;;;;;;;
Eternamente;dame;vida,;dame...;;;;;;;;;;;
--;;;;;;;;;;;;;;
Siente;el;fuego;en;mi;interior;;;;;;;;;
Déjame;entrar,;me;está;quemando,;amor;;;;;;;;;
No;me;des;una;ilusión;;;;;;;;;;
Eternamente;dame;vida,;dame;amor;;;;;;;;;;
--;;;;;;;;;;;;;;
Solo;(Dame;amor);dame,;dame;amor;;;;;;;;;
(Dame;amor,;solo;dame;amor);Dame,;dame;amor;;;;;;;
(Dame;amor,;solo;dame;amor);Dame;amor,;dame;amor;;;;;;
##;;;;;;;;;;;;;;
Laura no está;NEK;Leigli amici e tutto il resto;1997;https://www.youtube.com/watch?v=DAIxrSvq6bo;canciones/Laura.mid;;;;;;;;;
Laura;no;está,;Laura;se;fue;;;;;;;;;
Laura;se;escapa;de;mi;vida;;;;;;;;;
Y;tú;que;sí;estás,;preguntas;por;qué;;;;;;;
La;amo;a;pesar;de;las;heridas;;;;;;;;
Lo;ocupa;todo;su;recuerdo;;;;;;;;;;
No;consigo;olvidar;;;;;;;;;;;;
El;beso;de;su;cuerpo;;;;;;;;;;
--;;;;;;;;;;;;;;
Laura;no;está,;eso;lo;sé;;;;;;;;;
Y;no;la;encontraré;en;tu;piel;;;;;;;;
Es;enfermizo,;sabes;que;no;quisiera;;;;;;;;;
Besarte;a;ti;pensando;en;ella;;;;;;;;;
Esta;noche;inventaré;una;tregua;;;;;;;;;;
Ya;no;quiero;pensar;más;;;;;;;;;;
Contigo;olvidaré;su;ausencia;;;;;;;;;;;
--;;;;;;;;;;;;;;
Y;si;te;como;a;besos;tal;vez;;;;;;;
La;noche;sea;más;corta,;no;lo;sé;;;;;;;
Yo;solo;no;me;basto,;quédate;;;;;;;;;
Y;lléname;su;espacio,;quédate;;;;;;;;;;
Quédate;;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Laura;se;fue,;no;dijo;adiós;;;;;;;;;
Dejando;rota;mi;pasión;;;;;;;;;;;
Laura;quizá;ya;me;olvidó;;;;;;;;;;
Y;otro;rozó;su;corazón;;;;;;;;;;
Y;yo;sólo;sé;decir;su;nombre;;;;;;;;
No;recuerdo;ni;siquiera;el;mío;;;;;;;;;
¿Quién;me;abrigará;este;frío?;;;;;;;;;;
--;;;;;;;;;;;;;;
Y;si;te;como;a;besos,;tal;vez;;;;;;;
La;noche;sea;más;corta,;no;lo;sé;;;;;;;
Yo;solo;no;me;basto,;quédate;;;;;;;;;
Y;lléname,su;espacio,;quédate;;;;;;;;;;;
Quédate;;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Puede;ser;difícil;para;ti;;;;;;;;;;
Pero;no;puedo;olvidarla;;;;;;;;;;;
Creo;que;es;lógico;;;;;;;;;;;
Por;más;que;yo;intente;escaparme...;;;;;;;;;
Ella;está...;;;;;;;;;;;;;
Unas;horas;jugaré;a;quererte;;;;;;;;;;
Pero;cuando;vuelva;a;amanecer;;;;;;;;;;
Me;perderás;para;siempre;;;;;;;;;;;
--;;;;;;;;;;;;;;
Y;si;te;como;a;besos;sabrás;;;;;;;;
Lo;mucho;que;me;duele;este;dolor;;;;;;;;
No;encontraré;en;tu;abrazo;el;sabor;;;;;;;;
De;los;sueños;que;Laura;me;robó,;oh;;;;;;;
Si;me;enredo;en;tu;cuerpo;sabrás;;;;;;;;
Que;sólo;Laura;es;dueña;de;mi;amor;;;;;;;
No;encontraré;en;tu;abrazo;el;sabor;;;;;;;;
De;los;besos;que;Laura;me;robó,;me;robó;;;;;;
##;;;;;;;;;;;;;;
Nada valgo sin tu amor;Juanes;Mi sangre;2004;https://www.youtube.com/watch?v=zWjXipKSjdg;canciones/Nada_valgo_sin_tu_amor.mid;;;;;;;;;
Cuando;el;tiempo;pasa;y;nos;hacemos;viejos;nos;empieza;a;parecer;;;
Que;pesan;más;los;daños;que;los;mismos;años;al;final;;;;
Por;eso;yo;quiero;que;mis;años;pasen;junto;a;ti,;mi;amor;eterno;
Junto;a;mi;familia;junto;a;mis;amigos;y;mi;voz;;;;
--;;;;;;;;;;;;;;
Porque;nada;valgo,;porque;nada;tengo;si;no;tengo;lo;mejor;;;;
Tu;amor;y;compañía;en;mi;corazón;;;;;;;;
--;;;;;;;;;;;;;;
Y;es;que;vale;más;un;año;tardío;que;un;siglo;vacío,;amor;;
Y;es;que;vale;más;tener;bien;llenito;el;corazón;;;;;
Por;eso;yo;quiero;que;en;mi;mente;siempre;tu;cariño;esté;bien;fuerte;
Aunque;estemos;lejos;o;aunque;estemos;cerca;del;final;;;;;;
--;;;;;;;;;;;;;;
Porque;nada;valgo,;porque;nada;tengo;si;no;tengo;lo;mejor;;;;
Tu;amor;y;compañía;en;mi;corazón;;;;;;;;
Ven,;amor;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Me;siento;débil;cuando;estoy;sin;ti;;;;;;;;
Y;me;hago;fuerte;cuando;estás;aquí;;;;;;;;
Sin;ti;yo;ya;no;sé;qué;es;vivir;;;;;;
Mi;vida;es;un;tunel;sin;tu;luz;;;;;;;
Quiero;pasar;más;tiempo;junto;a;ti;;;;;;;;
Recuperar;las;noches;que;perdí;;;;;;;;;;
Vencer;el;miedo;inmenso;de;morir;;;;;;;;;
Y;ser;eterno;junto;a;ti;;;;;;;;;
--;;;;;;;;;;;;;;
Porque;nada;valgo,;porque;nada;tengo;si;no;tengo;lo;mejor;;;;
Tu;amor;y;compañía;en;mi;corazón;;;;;;;;
--;;;;;;;;;;;;;;
Y;si;yo;pudiera;detener;el;tiempo;y;volver;a;comenzar;;;;
Borrar;todo;lo;que;un;día;me;hizo;tanto,;pero;tanto;mal;;;
Borrar;el;odio;y;también;las;penas;y;una;a;una;las;tristezas;;
Y;dibujar;solo;tu;cariño;en;su;lugar;;;;;;;
--;;;;;;;;;;;;;;
Porque;nada;valgo,;porque;nada;tengo;si;no;tengo;lo;mejor;;;;
Tu;amor;y;compañía;en;mi;corazón;;;;;;;;
Ven,;amor;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Me;siento;débil;cuando;estoy;sin;ti;;;;;;;;
Y;me;hago;fuerte;cuando;estás;aquí;;;;;;;;
Sin;ti;yo;ya;no;sé;qué;es;vivir;;;;;;
Mi;vida;es;un;tunel;sin;tu;luz;;;;;;;
Quiero;pasar;más;tiempo;junto;a;ti;;;;;;;;
Recuperar;las;noches;que;perdí;;;;;;;;;;
Vencer;el;miedo;inmenso;de;morir;;;;;;;;;
Y;ser;eterno;junto;a;ti;;;;;;;;;
--;;;;;;;;;;;;;;
Porque;nada;valgo,;porque;nada;tengo;si;no;tengo;lo;mejor;;;;
Tu;amor;y;compañía;en;mi;corazón;;;;;;;;
##;;;;;;;;;;;;;;
Vino tinto;Estopa;Destrangis;2001;https://www.youtube.com/watch?v=NOjgze5Nmzc;canciones/Vino_Tinto.mid;;;;;;;;;
Hay;pistolas...;;;;;;;;;;;;;
Que;descargadas;se;me;disparan;;;;;;;;;;
Todos;los;relojes;me;separan;;;;;;;;;;
Y;no;me;encuentro;ya;ni;en;la;cama;;;;;;
Amapolas…;;;;;;;;;;;;;;
Son;los;suspiros;de;tus;escamas;;;;;;;;;
Que;son;los;tiros;que;dan;al;alma;;;;;;;
Si;quieres;verme;estoy;en;las;rama;;;;;;;;
--;;;;;;;;;;;;;;
Fíjate;un;objetivo;distinto;;;;;;;;;;;
Que;soy;como;un;vino;tinto;;;;;;;;;
Que;si;me;tomas;en;frío;engaño;;;;;;;;
Y;con;los;años;me;hago;mas;listo,;¡cariño!;;;;;;
--;;;;;;;;;;;;;;
Tómame;calentito;a;tu;ritmo;;;;;;;;;;
Que;soy;como;un;vino;añejo;;;;;;;;;
Hace;ya;tiempo;me;ando;buscando;;;;;;;;;
Y;no;me;encuentro;ni;en;el;espejo;;;;;;;
--;;;;;;;;;;;;;;
Porque;hoy;hay;olas;;;;;;;;;;;
En;este;mar;que;tu;ves;en;calma;;;;;;;
Tu;eres;el;pez;que;muerde;mi;cola;;;;;;;
Yo;soy;un;pájaro;y;tú;las;ramas;;;;;;;
Si;estamos;a;solas;;;;;;;;;;;
Tartartartartartamudeo;y;no;son;trolas;;;;;;;;;;
Yo;nunca;miento;por;la;mañana;;;;;;;;;
Ándate;al;loro;a;última;hora;;;;;;;;;
Yo;no;soy;malo;;;;;;;;;;;
Aunque;me;esconda;entre;la;maleza;;;;;;;;;
A;veces;voy;un;poco;del;palo;;;;;;;;
Tu;eres;mi;puzzle;y;yo;soy;un;pieza;;;;;;
Pero;tu;cuerpo;es;un;escándalo;;;;;;;;;
Hay;un;demonio;que;siempre;me;dice;pruébalo;;;;;;;
Y;un;angelito;que;me;dice;quieto;y;reza;;;;;;
¿A;quién;le;hago;caso;de;los;dos?;;;;;;;
--;;;;;;;;;;;;;;
Fíjate;un;objetivo;distinto;;;;;;;;;;;
Que;soy;como;un;vino;tinto;;;;;;;;;
Que;si;me;tomas;en;frío;engaño;;;;;;;;
Y;con;los;años;me;hago;mas;listo,;¡cariño!;;;;;;
--;;;;;;;;;;;;;;
Tómame;calentito;a;tu;ritmo;;;;;;;;;;
Que;soy;como;un;vino;añejo;;;;;;;;;
Hace;ya;tiempo;me;ando;buscando;;;;;;;;;
Y;no;me;encuentro;ni;en;el;espejo;;;;;;;
--;;;;;;;;;;;;;;
Recapacita,;no;vayamos;a;perder;la;cabeza;;;;;;;;
Porque;esta;es;nuestra;primera;cita;;;;;;;;;
Y;yo;ya;llevo;unas;diez;cervezas;;;;;;;;
No;sé;si;me;incitas;o;me;incito;yo;por;naturaleza;;;;
Niña;lo;que;se;da,;no;se;quita;;;;;;;
Y;lo;que;te;quitas,;ahí;se;queda;morena...;;;;;;
--;;;;;;;;;;;;;;
Fíjate;un;objetivo;distinto;;;;;;;;;;;
Que;soy;como;un;vino;tinto;;;;;;;;;
Que;si;me;tomas;en;frío;engaño;;;;;;;;
Y;con;los;años;me;hago;mas;listo,;¡cariño!;;;;;;
--;;;;;;;;;;;;;;
Tómame;calentito;a;tu;ritmo;;;;;;;;;;
Que;soy;como;un;vino;añejo;;;;;;;;;
Hace;ya;tiempo;me;ando;buscando;;;;;;;;;
Y;no;me;encuentro;ni;en;el;espejo;;;;;;;
##;;;;;;;;;;;;;;
Cuando sea Grande;Cuarteto de nos;Porfiado;2012;https://www.youtube.com/watch?v=6Ae9_FVR_MQ;canciones/Cuando_Sea_Grande.mid;;;;;;;;;
No;quiero;quejarme;de;oreja;en;oreja;;;;;;;;
Fijarme;si;quien;me;aventaja;se;aleja;;;;;;;;
Negar;el;reflejo;que;dejo;en;mi;espejo;;;;;;;
Ni;alojar;el;rencor;entre;ceja;y;ceja;;;;;;;
No;quiero;guardar;tantos;secretos;;;;;;;;;;
Ni;estar;enfrentado;en;un;cuadro;grotesco;;;;;;;;
Como;los;Montesco;y;los;Capuleto;;;;;;;;;
No;quiero;a;tu;edad;quedar;obsoleto;;;;;;;;
Ni;perder;el;vigor,;ni;decir;sin;rigor;;;;;;;
Que;todo;tiempo;pasado;siempre;fue;mejor;;;;;;;;
Ni;llegar;a;mi;casa;ofuscado;y;molesto;;;;;;;
No;quiero;estar;cansado;de;llevarme;puesto;;;;;;;;
--;;;;;;;;;;;;;;
Y;aunque;esta;verdad;pueda;doler;;;;;;;;;
Tengo;que;decirlo,;sin;complacer;;;;;;;;;;
Pero;si;ofendo,;pido;perdón;;;;;;;;;;
Cuando;sea;grande,;no;quiero;ser;como;vos;;;;;;;
--;;;;;;;;;;;;;;
No;quiero;cometer;tus;mismos;errores;;;;;;;;;
Ni;creer;que;todos;son;estafadores;;;;;;;;;
No;quiero;manejar;tus;mismos;valores;;;;;;;;;
Ni;que;cada;día;sea;igual;a;los;anteriores;;;;;;
No;quiero;no;poder;controlar;mis;enojos;;;;;;;;
Ni;cargar;esa;tristeza;en;los;ojos;;;;;;;;
Mojados;y;rojos,;ajados;y;flojos;;;;;;;;;
No;quiero;resignarme;a;ser;mis;despojos;;;;;;;;
Ni;echar;con;vehemencia;la;culpa;a;los;demás;;;;;;
De;lo;que;es;mi;incumbencia;y;responsabilidad;;;;;;;
Ni;que;me;de;por;probar;en;alguna;idiotez;;;;;;
Lo;que;no;pude;hacer;cuando;tuve;23;;;;;;;
--;;;;;;;;;;;;;;
Y;aunque;esta;verdad;pueda;doler;;;;;;;;;
Tengo;que;decirlo,;sin;complacer;;;;;;;;;;
Pero;si;ofendo,;pido;perdón;;;;;;;;;;
Cuando;sea;grande,;no;quiero;ser;como;vos;;;;;;;
--;;;;;;;;;;;;;;
No;quiero;que;ya;nada;me;provoque;placer;;;;;;;
Ni;que;cuando;el;dolor;me;toque;evoque;al;ayer;;;;;
Ni;mirar;fotos;viejas;y;ponerme;a;llorar;;;;;;;
O;que;nombren;a;alguien;y;empezar;a;temblar;;;;;;
No;quiero;llevar;esa;vida;mal;trecha;;;;;;;;
Con;sospechas;de;dolo;y;la;ilusión;desecha;;;;;;;
Ni;lanzar;pestes;creyéndome;Apolo;;;;;;;;;;
Ni;que;me;molesten;en;una;fecha;estar;solo;;;;;;
Y;aunque;esto;se;preste;a;mal;interpretar;;;;;;;
No;quiero;que;crean;que;es;solo;por;criticar;;;;;;
Y;espero;que;tan;solo;sea;una;declaración;;;;;;;
Porque;ni;yo;sé;si;quiero;que;quieras;ser;como;yo;;;;
--;;;;;;;;;;;;;;
Y;aunque;esta;verdad;pueda;doler;;;;;;;;;
Tengo;que;decirlo,;sin;complacer;;;;;;;;;;
Pero;si;ofendo,;pido;perdón;;;;;;;;;;
Cuando;sea;grande,;no;quiero;ser;como;vos;;;;;;;
Y;aunque;esta;verdad;pueda;doler;;;;;;;;;
Tengo;que;decirlo,;sin;complacer;;;;;;;;;;
Pero;si;ofendo,;pido;perdón;;;;;;;;;;
Cuando;sea;grande;;;;;;;;;;;;
##;;;;;;;;;;;;;;
Cielo;Benny Ibarra;Cielo;2002;https://www.youtube.com/watch?v=XKzMfTuAJJs;canciones/Cielo.mid;;;;;;;;;
Cielo;por;tu;luz;;;;;;;;;;;
Por;esa;caricia;;;;;;;;;;;;
Yo;seria;capas;de;rendir;mi;ser;;;;;;;;
Ya;no;tiene;caso;;;;;;;;;;;
Mirar;hacia;otro;lado;;;;;;;;;;;
Todo;lo;que;espero;lo;encuentro;;;;;;;;;
En;TI....;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Sientete;segura;;;;;;;;;;;;;
Que;no;te;quepa;duda;;;;;;;;;;
Cuenta;con;mi;vida;;;;;;;;;;;
why;mi;devocion;;;;;;;;;;;;
Vivo;para;amarte;;;;;;;;;;;;
Para;mi;alejarme;;;;;;;;;;;;
Es;como;quedar;sin;respiracion;;;;;;;;;;
--;;;;;;;;;;;;;;
El;cielo;en;tu;mirada;;;;;;;;;;
Cada;Madrugada;;;;;;;;;;;;;
Es;a;donde;pierdo;mi;confusion;;;;;;;;;
why;cuando;estas;ausente;;;;;;;;;;;
Te;abrazo;a;mi;mente;;;;;;;;;;
Mi;cielo;para;sobrevivir;;;;;;;;;;;
Mi;cielo;para;poder;vivir;;;;;;;;;;
##;;;;;;;;;;;;;;
La raja de tu falda;Estopa;Estopa;1999;https://youtu.be/wECwsE4yNSQ;canciones/por_la_raja_de_tu_falda.mid;;;;;;;;;
Y;era;una;tarde;tonta;y;caliente;;;;;;;;
De;esas;que;te;quema;el;sol;la;frente;;;;;;
Era;el;verano;del;noventa;y;siete;;;;;;;;
Y;yo;me;moría;por;verte;;;;;;;;;
Mi;única;idea;era;camelarte;;;;;;;;;;
Era;llevarte;a;cualquier;parte;;;;;;;;;;
Yo;ese;dia;tocaba;en;el;bar;sin;nombre;;;;;;
Y;allí;esperaba;encontrarte;;;;;;;;;;;
--;;;;;;;;;;;;;;
Me;puse;un;pantaloncito;estrecho;;;;;;;;;;
La;camiseta;de;los;conciertos;;;;;;;;;;
Vamos;Josele;tira;pa'l;coche;;;;;;;;;;
Porque;esta;noche;nos;la;comemos;;;;;;;;;
--;;;;;;;;;;;;;;
Y;al;pasar;por;tu;calle;allí;estabas;tú;;;;;;
Esperando;en;la;parada;del;autobús;;;;;;;;;
Comiendote,;con;gracia,;aquel;chupachup;;;;;;;;;;
¡Qué;vicio,;qué;vicio!;;;;;;;;;;;
--;;;;;;;;;;;;;;
No;sé;que;me;dio;por;la;espalda;;;;;;;
Cuando;vi;la;raja;de;tu;falda;;;;;;;;
Que;un;Seat;Panda;se;me;cruzó;;;;;;;;
Y;se;comió;el;parachoques;de;mi;Ford;Escort;;;;;;
--;;;;;;;;;;;;;;
Por;la;raja;de;tu;falda;yo;;;;;;;;
Tuve;un;piñazo;con;un;Seat;Panda;;;;;;;;
--;;;;;;;;;;;;;;
10:40;post;meridiam;;;;;;;;;;;;
Llegamos;tarde;para;no;variar;;;;;;;;;;
Y;el;tío;del;garito;esta;mosqueao;;;;;;;;
--;;;;;;;;;;;;;;
Porque;aún;no;hay;nada;montao;;;;;;;;;
Y;la;gente;entra;que;te;entra;;;;;;;;
Y;yo;enchufa;que;te;enchufa;;;;;;;;;
Mi;hermano;"prueba;que;te;prueba";;;;;;;;;;;;
¿Esto;se;escucha;o;no;se;escucha?;;;;;;;;
Entre;el;calor;de;la;gente,;alma;del;ambiente;;;;;;
Los;focos;deslumbrantes;son;muy;potentes;;;;;;;;;
--;;;;;;;;;;;;;;
El;público;delante;muy;expectante;;;;;;;;;;
¡Caliente,;caliente!;;;;;;;;;;;;;
De;repente;se;abrió;la;puerta;;;;;;;;;
Mientras;yo;cogía;la;guitarra;;;;;;;;;;
Y;me;temblaron;las;piernas;;;;;;;;;;
Al;ver;de;nuevo;la;raja;de;tu;falda;;;;;;
--;;;;;;;;;;;;;;
Por;la;raja;de;tu;falda;yo;;;;;;;;
Rompí;tres;cuerdas;de;esta;guitarra;;;;;;;;;
--;;;;;;;;;;;;;;
Y;ahora;ya;a;pasado;el;tiempo;;;;;;;;
Parece;que;fuera;ayer;;;;;;;;;;;
Desde;que;desapareciste;del;concierto;;;;;;;;;;
Yo;no;te;he;vuelto;a;ver;;;;;;;;
Ya;no;recuerdo;tus;ojos;;;;;;;;;;
Ni;siquiera;tu;mirada;;;;;;;;;;;
Tan;solo;puedo;acordarme;de;la;raja;de;tu;falda;;;;;
Por;la;raja;de;tu;falda;;;;;;;;;
Yo;me;he;obsesionao;y;voy;de;barra;en;barra;;;;;
--;;;;;;;;;;;;;;
Por;la;raja;de;tu;falda;;;;;;;;;
Yo;tuve;un;piñazo;con;un;Seat;Panda;;;;;;;
