Rosas;Oreja de Van Gogh;Lo que te conte mientras te hacias la dormida;2003;https://www.youtube.com/watch?v=nYnLVWXmRm8;/canciones/Rosas.mid;;;;;;;;;
--;;;;;;;;;;;;;;
Por;la;raja;de;tu;falda;;;;;;;;;
Yo;tuve;un;siniestro;con;un;Seat;Panda;;;;;;;
##;;;;;;;;;;;;;;
Hijo de la luna;Mecano;Entre el cielo y yo;1987;https://www.youtube.com/watch?v=OwGG5fX7bxY
Tonto;el;que;no;entienda
Cuenta;una;leyenda 
Que;una;hembra;gitana
Conjuró;a;la;Luna;hasta;el;amanecer
Llorando;pedía
Al;llegar;el;día
Desposar;un;calé
--;
Tendrás;a;tu;hombre;piel;morena
Desde;el;cielo;habló;la;Luna;llena
Pero;a;cambio;quiero
El;hijo;primero
Que;le;engendres;a;él
Que;quien;su;hijo;inmola
Para;no;estar;sola
Poco;le;iba;a;querer
--;
Luna;quieres;ser;madre
Y;no;encuentras;querer
Que;te;haga;mujer
Dime;Luna;de;plata
¿Qué;pretendes;hacer
Con;un;niño;de;piel?
Hijo;de;la;Luna
--;
De;padre;canela;nació;un;niño
Blanco;como;el;lomo;de;un;armiño
Con;los;ojos;grises
En;vez;de;aceituna
Niño;albino;de;Luna
Maldita;su;estampa
Este;hijo;es;de;un;payo
Y;yo;no;me;lo;callo
--;
Luna;quieres;ser;madre
Y;no;encuentras;querer
Que;te;haga;mujer
Dime;Luna;de;plata
¿Qué;pretendes;hacer
Con;un;niño;de;piel?
Hijo;de;la;Luna
--;
Gitano;al;creerse;deshonrado
Se;fue;a;su;mujer;cuchillo;en;mano:
¿De;quién;es;el;hijo?
Me;has;engañado;fijo
Y;de;muerte;la;hirió
Luego;se;hizo;al;monte
Con;el;niño;en;brazos
Y;allí;le;abandono
--;
Luna;quieres;ser;madre
Y;no;encuentras;querer
Que;te;haga;mujer
Dime;Luna;de;plata
¿Qué;pretendes;hacer
Con;un;niño;de;piel?
Hijo;de;la;Luna
--;
Y;en;las;noches;que;haya;Luna;llena
Será;porque;el;niño;esté;de;buenas
Y;si;el;niño;llora
Menguará;la;Luna
Para;hacerle;una;cuna
Y;si;el;niño;llora
Menguará;la;luna
Para;hacerle;una;cuna
##;
Soda Estereo;Musica Ligera;Musica Ligera;2012;https://www.youtube.com/watch?v=T_FkEw27XJ0;canciones/musica_ligera.mid;
Ella;durmió;al;calor;de;las;masas;
Y;yo;desperté;queriendo;soñarla;
Algún;tiempo;atrás;pensé;en;escribirle;
Que;nunca;sorteé;las;trampas;del;amor;
--;
De;aquel;amor;
De;música;ligera;
Nada;nos;libra;
Nada;más;queda;
No;le;enviaré;cenizas;de;rosas;
Ni;pienso;evitar;un;roce;secreto;
--;
De;aquel;amor;
De;música;ligera;
Nada;nos;libra;
Nada;más;queda;
De;aquel;amor;
De;música;ligera;
--;
Nada;nos;libra;
Nada;más;queda;
Nada;más;
Nada;más;queda;
Nada;más;queda;
Nada;más;queda;
Nada;más;queda;
##;;;;;;;;;;;;;;
